CID,anionE_H,dianionE_H,dE_eV,SM_H,conformer,adductE_H,adduct_complete,filename,dE_addCO2_H,lnKco2,logKco2,,,,,,,,
100072,-993.7741068,-993.8297252,1.51345453,-1182.342325,1,-1182.442273,TRUE,100072_1.log,-0.061360293,65.00317471,28.22543409,,,,,,,,
100242,-953.3592826,-953.4027641,1.183192489,-1141.915364,0,-1142.014245,TRUE,100242_0.log,-0.079586881,84.31185181,36.60957525,,,,,,,,
100574,-917.3953171,-917.4873716,2.504931821,-1105.999971,0,-1106.077155,TRUE,100574_0.log,-0.057889281,61.32609319,26.62878558,,,,,,,,
100650,-704.4994049,-704.5981551,2.687131192,-893.1107549,0,-893.1599607,TRUE,100650_0.log,-0.029911881,31.68771092,13.75931868,,,,,,,,
100659,-1042.447608,-1042.572914,3.409759852,-1231.085514,1,-1231.131604,TRUE,100659_1.log,-0.026795581,28.38640019,12.32583595,,,,,,,,
100795,-720.530267,-720.6469341,3.174675125,-909.1595339,1,-909.2022796,TRUE,100795_1.log,-0.023451781,24.84408309,10.78770434,,,,,,,,
101211,-613.4870949,-613.5819404,2.580878839,-802.0945402,0,-802.1544341,TRUE,101211_0.log,-0.040599981,43.01034968,18.6757923,,,,,,,,
101219,-688.4410505,-688.5466617,2.873828608,-877.0592615,1,-877.1018479,TRUE,101219_1.log,-0.023292481,24.67532565,10.71442712,,,,,,,,
101261,-990.3535704,-990.4862578,3.610609916,-1178.998858,1,-1179.022673,TRUE,101261_1.log,-0.004521481,4.789915514,2.079859103,,,,,,,,
101355,-535.1148092,-535.2325959,3.205141008,-723.7451957,0,-723.7971327,TRUE,101355_0.log,-0.032643081,34.58105875,15.0156573,,,,,,,,
101405,-610.2905136,-610.3840968,2.546529888,-798.8966966,0,-798.9689992,TRUE,101405_0.log,-0.053008681,56.15573824,24.3837335,,,,,,,,
10141,-685.289022,-685.4224233,3.630036135,-873.9350231,0,-873.9994805,TRUE,10141_0.log,-0.045163481,47.8447788,20.77497994,,,,,,,,
