PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_SYSTEMATIC_NAME,SMILES,SAscore,RAscore,Combined_Score
8371,"2,3,5,6-tetrakis(chloranyl)cyclohexa-2,5-diene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,2.591,0.952000022,0.783707574
10141,"5,8-bis(oxidanyl)naphthalene-1,4-dione",O=C1C=CC(=O)c2c(O)ccc(O)c21,2.431,0.97299999,0.818292992
10166,"(1R,3S)-9-methoxy-1,3-dimethyl-3,4-dihydro-1H-benzo[g]isochromene-5,10-dione",COc1cccc2c1C(=O)C1=C(C[C@H](C)O[C@@H]1C)C2=O,3.375,0.72299999,0.532208326
10207,"3-(hydroxymethyl)-1,8-bis(oxidanyl)anthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,2.31,0.990999997,0.846754442
10208,"3-methyl-1,8-bis(oxidanyl)anthracene-9,10-dione",Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,2.189,0.987999976,0.857474201
68083,"furo[3,2-g]chromene-4,7,9-trione",O=C1c2ccoc2C(=O)c2oc(=O)ccc21,2.929,0.95599997,0.75109731
68239,"2,3,5,6-tetrakis(fluoranyl)cyclohexa-2,5-diene-1,4-dione",O=C1C(F)=C(F)C(=O)C(F)=C1F,3.373,0.950999975,0.700252982
69453,"2,3,5-tris(chloranyl)cyclohexa-2,5-diene-1,4-dione",O=C1C=C(Cl)C(=O)C(Cl)=C1Cl,2.883,0.950999975,0.752029647
84442,"4-chloranyl-2,5-bis(oxidanyl)-3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1-carbonitrile",N#CC1=C(O)C(=O)C(Cl)=C(O)C1=O,3.234,0.907999992,0.682614216
87538,"4,5-bis(chloranyl)cyclohexa-3,5-diene-1,2-dione",O=C1C=C(Cl)C(Cl)=CC1=O,3.079,0.950999975,0.731318981
132243,"(3S)-8-methoxy-3-methyl-11-oxidanyl-3,4-dihydro-2H-benzo[a]anthracene-1,7,12-trione",COc1ccc(O)c2c1C(=O)c1ccc3c(c1C2=O)C(=O)C[C@@H](C)C3,2.999,0.575999975,0.448063981
135906,"8-ethenyl-2,3-dimethoxy-8-methyl-5-prop-1-en-2-yl-6,7-dihydro-5H-naphthalene-1,4-dione",C=CC1(C)CCC(C(=C)C)C2=C1C(=O)C(OC)=C(OC)C2=O,4.271,0.034000002,0.02164289
146693,"3,5-bis(chloranyl)cyclohexa-3,5-diene-1,2-dione",O=C1C=C(Cl)C=C(Cl)C1=O,2.772,0.949000001,0.762152445
146752,"3,4,6-tris(chloranyl)cyclohexa-3,5-diene-1,2-dione",O=C1C(=O)C(Cl)=C(Cl)C=C1Cl,3.058,0.952000022,0.73430935
147824,"1-(hydroxymethyl)-7-methoxy-6-methyl-5,8-bis(oxidanylidene)-3,4-dihydro-1H-isoquinoline-2-carbaldehyde",COC1=C(C)C(=O)C2=C(C1=O)C(CO)N(C=O)CC2,3.73,0.568000019,0.39570668
149148,"8-oxidanyl-5,6-bis(oxidanylidene)quinoline-7-carbonitrile",N#CC1=C(O)c2ncccc2C(=O)C1=O,2.78,0.943000019,0.75649557
149159,"6,7-bis(chloranyl)quinoxaline-5,8-dione",O=C1C(Cl)=C(Cl)C(=O)c2nccnc21,2.73,0.952000022,0.769004462
149160,"6,7-bis(chloranyl)quinazoline-5,8-dione",O=C1C(Cl)=C(Cl)C(=O)c2ncncc21,2.782,0.952000022,0.763504018
149161,"6,7-bis(chloranyl)phthalazine-5,8-dione",O=C1C(Cl)=C(Cl)C(=O)c2cnncc21,2.926,0.943000019,0.741198015
153833,"3,4-bis(chloranyl)cyclohexa-3,5-diene-1,2-dione",O=C1C=CC(Cl)=C(Cl)C1=O,3.038,0.959999979,0.742613317
153834,"3,6-bis(chloranyl)cyclohexa-3,5-diene-1,2-dione",O=C1C(=O)C(Cl)=CC=C1Cl,3.21,0.940999985,0.709932211
154045,"12-methylbenzo[a]anthracene-3,4-dione",Cc1c2ccccc2cc2ccc3c(c12)C=CC(=O)C3=O,2.443,0.973999977,0.817835314
183883,"2-(2-ethylbutyl)-6-methoxy-cyclohexa-2,5-diene-1,4-dione",CCC(CC)CC1=CC(=O)C=C(OC)C1=O,2.878,0.80400002,0.636232016
188865,"2,13-dimethylpentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),5,10,13,15,17,19,21-decaene-7,8-dione",Cc1c2ccc3c(c2c(C)c2c1ccc1ccccc12)C=CC(=O)C3=O,2.604,0.223000005,0.183256448
255964,"6,7-bis(bromanyl)quinoline-5,8-dione",O=C1C(Br)=C(Br)C(=O)c2ncccc21,2.598,0.967000008,0.795303784
260516,"[2,4,5-triacetyloxy-3,6-bis(oxidanylidene)cyclohexa-1,4-dien-1-yl] ethanoate",CC(=O)OC1=C(OC(C)=O)C(=O)C(OC(C)=O)=C(OC(C)=O)C1=O,2.92,0.628000021,0.494026683
260559,"2-chloranyl-3-[(4-oxidanylidenecyclohexa-2,5-dien-1-ylidene)amino]naphthalene-1,4-dione",O=C1C=CC(=NC2=C(Cl)C(=O)c3ccccc3C2=O)C=C1,2.83,0.114,0.09082
269723,"5-oxidanyl-1H-quinoline-2,7,8-trione",O=C1C=C(O)c2ccc(=O)[nH]c2C1=O,2.836,0.762000024,0.606552019
270570,"diethyl 3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1,4-dicarboxylate",CCOC(=O)C1=CC(=O)C(C(=O)OCC)=CC1=O,2.602,0.941999972,0.774323977
271155,"3-(2-bromanyl-3-methyl-but-1-enyl)-4-oxidanyl-naphthalene-1,2-dione",CC(C)C(Br)=CC1=C(O)c2ccccc2C(=O)C1=O,2.867,0.500999987,0.397070323
271597,"3-chloranyl-1H-naphtho[2,3-h]quinoxaline-2,7,12-trione",O=C1c2ccccc2C(=O)c2c1ccc1nc(Cl)c(=O)[nH]c21,2.505,0.924000025,0.769486687
