CID,HOMO,HOMO-1,delta_orbs
100072,-0.16895,-0.22845,0.0595
10012509,-0.1676,-0.25167,0.08407
10013178,-0.14885,-0.23698,0.0881299999999999
10013409,-0.16758,-0.23927,0.07169
10013478,-0.15974,-0.23002,0.07028
10013586,-0.15189,-0.24162,0.08973
10013624,-0.1453,-0.23725,0.0919499999999999
10014036,-0.15252,-0.24564,0.09312
10014037,-0.16337,-0.24963,0.08626
10014239,-0.1659,-0.24757,0.08167
10014422,-0.16405,-0.24454,0.08049
10014520,-0.16715,-0.23972,0.07257
10014710,-0.16145,-0.24064,0.0791899999999999
10014751,-0.12903,-0.21816,0.0891299999999999
10014894,-0.14606,-0.24019,0.0941299999999999
10014984,-0.15962,-0.24346,0.08384
10015214,-0.14003,-0.23103,0.091
10015259,-0.1509,-0.24843,0.09753
10015267,-0.1427,-0.23395,0.09125
10015379,-0.15216,-0.2224,0.07024
10015504,-0.1593,-0.24379,0.08449
10015887,-0.15176,-0.2519,0.10014
10015944,-0.13897,-0.23779,0.0988199999999999
10016160,-0.14763,-0.24016,0.09253
10016161,-0.16251,-0.24575,0.08324
10016263,-0.16522,-0.25839,0.09317
10016991,-0.14722,-0.22551,0.07829
10017076,-0.14999,-0.2573,0.1073099999999999
10017086,-0.14651,-0.23694,0.09043
10017097,-0.16554,-0.25079,0.08525
10017262,-0.15913,-0.23248,0.07335
10017445,-0.15657,-0.22951,0.07294
10017511,-0.14997,-0.24138,0.09141
10017561,-0.1467,-0.22851,0.08181
10017657,-0.14987,-0.23692,0.0870499999999999
10017661,-0.14465,-0.23926,0.09461
10017721,-0.15956,-0.24629,0.08673
10018071,-0.1626,-0.2525,0.0899
10018120,-0.14613,-0.23881,0.0926799999999999
10018621,-0.11857,-0.22722,0.10865
10018666,-0.14676,-0.23168,0.08492
10018730,-0.14484,-0.23392,0.0890799999999999
10018904,-0.14101,-0.22898,0.0879699999999999
10019019,-0.13361,-0.23213,0.09852
10019513,-0.15166,-0.23085,0.07919
10019760,-0.18048,-0.25436,0.0738799999999999
10019885,-0.14234,-0.23875,0.09641
10019979,-0.15743,-0.2243,0.06687
10020240,-0.15654,-0.23664,0.0800999999999999
10020635,-0.1491,-0.24194,0.0928399999999999
100242,-0.15015,-0.23407,0.08392
10035508,-0.15276,-0.24565,0.09289
10036564,-0.14932,-0.24122,0.0918999999999999
10036600,-0.14408,-0.23782,0.0937399999999999
10036684,-0.14922,-0.23873,0.08951
10036947,-0.14018,-0.22273,0.08255
10037198,-0.14766,-0.23429,0.0866299999999999
10037329,-0.14244,-0.24821,0.1057699999999999
10037334,-0.16326,-0.24962,0.08636
10037536,-0.15632,-0.24819,0.09187
10037830,-0.14432,-0.2346,0.09028
10037986,-0.1481,-0.24672,0.0986199999999999
10038025,-0.15016,-0.23554,0.08538
10038037,-0.11307,-0.23454,0.12147
10038270,-0.15973,-0.23144,0.07171
10038390,-0.16238,-0.23902,0.07664
10038437,-0.1419,-0.23452,0.09262
10038751,-0.16137,-0.22949,0.0681199999999999
10038862,-0.12375,-0.23018,0.10643
10038867,-0.11219,-0.21768,0.10549
10039290,-0.14601,-0.24675,0.10074
10039317,-0.15327,-0.23422,0.08095
10039565,-0.15348,-0.24409,0.09061
10039843,-0.14248,-0.22644,0.08396
10040073,-0.16118,-0.24805,0.08687
10040206,-0.14152,-0.2292,0.0876799999999999
10040428,-0.13313,-0.22934,0.0962099999999999
10040429,-0.16027,-0.24442,0.08415
10040430,-0.15196,-0.23968,0.0877199999999999
10040431,-0.14953,-0.23696,0.08743
10040432,-0.13774,-0.23314,0.0953999999999999
10040565,-0.15214,-0.23824,0.0861
10040577,-0.14412,-0.22804,0.08392
10040923,-0.13282,-0.23038,0.09756
10040934,-0.14179,-0.22779,0.086
10041193,-0.14495,-0.24575,0.1008
10041429,-0.13582,-0.232,0.09618
10041465,-0.15785,-0.22998,0.07213
10041791,-0.14731,-0.23984,0.09253
10042061,-0.15845,-0.22847,0.07002
10042198,-0.16142,-0.25311,0.09169
10042371,-0.13264,-0.21575,0.0831099999999999
10042385,-0.18167,-0.2626,0.08093
10042565,-0.14716,-0.2364,0.0892399999999999
10042612,-0.14753,-0.23576,0.08823
10042616,-0.13806,-0.23866,0.1006
10042743,-0.14951,-0.23109,0.0815799999999999
10042744,-0.15023,-0.22395,0.07372
10042849,-0.15712,-0.23775,0.0806299999999999
10043098,-0.14853,-0.24237,0.09384
10043231,-0.15017,-0.23297,0.0828
10043243,-0.14043,-0.22298,0.08255
10043324,-0.1529,-0.24827,0.0953699999999999
100574,-0.13164,-0.22894,0.0973
10057794,-0.16688,-0.25901,0.09213
10058516,-0.17086,-0.23476,0.0638999999999999
10059153,-0.15463,-0.23867,0.08404
10059325,-0.14601,-0.23529,0.08928
10059906,-0.16007,-0.24813,0.08806
10060107,-0.15328,-0.24015,0.08687
10060286,-0.15091,-0.23345,0.08254
10060421,-0.15188,-0.24151,0.08963
10060853,-0.1359,-0.23841,0.10251
10060871,-0.15282,-0.23769,0.08487
10060948,-0.16315,-0.23643,0.07328
10060957,-0.15166,-0.24493,0.09327
10060960,-0.12597,-0.23507,0.1091
10061047,-0.14899,-0.2331,0.0841099999999999
10061048,-0.14497,-0.23401,0.08904
10061049,-0.14645,-0.24702,0.1005699999999999
10061194,-0.15504,-0.2545,0.0994599999999999
10061236,-0.17544,-0.25206,0.07662
10061255,-0.14977,-0.24134,0.09157
10061429,-0.15338,-0.24319,0.08981
10061440,-0.14174,-0.22928,0.08754
10061660,-0.14425,-0.23269,0.08844
10061875,-0.15702,-0.26659,0.10957
10062187,-0.1593,-0.23159,0.07229
10062199,-0.16191,-0.2258,0.06389
10062464,-0.15405,-0.24033,0.08628
10063033,-0.14567,-0.23304,0.08737
10063092,-0.16204,-0.22329,0.06125
10063478,-0.15856,-0.24489,0.0863299999999999
10063577,-0.18087,-0.26263,0.0817599999999999
10063597,-0.13942,-0.23004,0.09062
10064046,-0.14539,-0.23425,0.08886
10064105,-0.1481,-0.23049,0.0823899999999999
10064115,-0.148,-0.21674,0.06874
10064116,-0.15225,-0.24573,0.09348
10064215,-0.14496,-0.24385,0.09889
10064464,-0.14864,-0.22498,0.07634
10064574,-0.17989,-0.2561,0.07621
10064830,-0.12342,-0.23683,0.11341
10064948,-0.14884,-0.24227,0.09343
10064978,-0.15273,-0.23701,0.08428
100650,-0.15469,-0.25681,0.1021199999999999
10065269,-0.14451,-0.22751,0.0829999999999999
10065662,-0.15098,-0.2223,0.07132
10065708,-0.11031,-0.22069,0.1103799999999999
100659,-0.1496,-0.24061,0.0910099999999999
10065906,-0.1557,-0.22861,0.07291
10066263,-0.13646,-0.22837,0.0919099999999999
10066319,-0.13043,-0.22324,0.09281
10066357,-0.15053,-0.23905,0.08852
100795,-0.1673,-0.24724,0.0799399999999999
10081321,-0.15743,-0.24783,0.0904
10081699,-0.16829,-0.2521,0.08381
10081745,-0.15503,-0.24914,0.09411
10082560,-0.14658,-0.24752,0.10094
10083130,-0.16215,-0.23302,0.07087
10083434,-0.14801,-0.22353,0.07552
10083440,-0.15045,-0.24024,0.08979
10083974,-0.14945,-0.24067,0.09122
10084057,-0.14437,-0.23803,0.09366
10084160,-0.1347,-0.23623,0.10153
10084255,-0.15517,-0.24511,0.0899399999999999
10084702,-0.15224,-0.24372,0.09148
10084757,-0.12362,-0.24403,0.12041
10084919,-0.16221,-0.24065,0.07844
10084963,-0.15097,-0.2373,0.08633
10085264,-0.13611,-0.23264,0.09653
10085604,-0.13601,-0.22563,0.08962
10085716,-0.11145,-0.24434,0.13289
10085843,-0.16011,-0.2526,0.0924899999999999
10086148,-0.13227,-0.22858,0.09631
10086521,-0.16421,-0.24997,0.08576
10086577,-0.14753,-0.23588,0.08835
10086578,-0.13389,-0.22745,0.09356
10086729,-0.14968,-0.21971,0.0700299999999999
10086838,-0.13918,-0.23491,0.09573
10086845,-0.14955,-0.22296,0.07341
10086858,-0.1212,-0.23745,0.1162499999999999
10086860,-0.14442,-0.22977,0.08535
10086891,-0.16809,-0.23962,0.07153
10087101,-0.14222,-0.2307,0.0884799999999999
10087102,-0.15322,-0.23302,0.0798
10087125,-0.14625,-0.23155,0.0853
10087355,-0.14029,-0.23717,0.09688
10087379,-0.15111,-0.23736,0.08625
10087673,-0.15509,-0.25165,0.0965599999999999
10087907,-0.14127,-0.23284,0.0915699999999999
10088004,-0.14303,-0.23158,0.08855
10088005,-0.14292,-0.23349,0.09057
10088488,-0.14942,-0.23877,0.08935
10088599,-0.15172,-0.22537,0.07365
10088600,-0.13761,-0.24228,0.1046699999999999
10088603,-0.1401,-0.22704,0.0869399999999999
10088758,-0.14597,-0.24173,0.09576
10088781,-0.15255,-0.23812,0.08557
10088955,-0.13673,-0.23351,0.09678
10104346,-0.14663,-0.24123,0.0945999999999999
10104422,-0.1436,-0.2365,0.0928999999999999
10104735,-0.14563,-0.23856,0.0929299999999999
10105247,-0.16477,-0.25573,0.09096
10105250,-0.16323,-0.23087,0.06764
10105653,-0.15603,-0.25009,0.0940599999999999
10105904,-0.15181,-0.2538,0.10199
10105999,-0.16943,-0.25982,0.09039
10106066,-0.14662,-0.23974,0.09312
10106132,-0.15431,-0.24551,0.0912
10106134,-0.1516,-0.23519,0.08359
10106344,-0.11525,-0.23713,0.12188
10106450,-0.1131,-0.23475,0.1216499999999999
10106665,-0.15361,-0.24099,0.08738
10106711,-0.13097,-0.22054,0.08957
10107374,-0.15202,-0.2411,0.08908
10107387,-0.10872,-0.23003,0.12131
10107473,-0.14608,-0.23838,0.0923
10107493,-0.16917,-0.25414,0.0849699999999999
10107508,-0.14946,-0.24058,0.0911199999999999
10107621,-0.14705,-0.2343,0.08725
10107799,-0.15951,-0.25828,0.09877
10107940,-0.1476,-0.22982,0.0822199999999999
10107979,-0.15017,-0.23754,0.08737
10108363,-0.15565,-0.24032,0.08467
10108483,-0.13577,-0.23247,0.0967
10108805,-0.15165,-0.24766,0.0960099999999999
101146,-0.07819,-0.22624,0.14805
101211,-0.14382,-0.24321,0.09939
101219,-0.15526,-0.22964,0.07438
10125440,-0.13646,-0.23518,0.09872
10125493,-0.13864,-0.23832,0.0996799999999999
10125866,-0.1428,-0.24876,0.10596
101261,-0.16647,-0.26101,0.09454
10130199,-0.15286,-0.23688,0.08402
10130467,-0.16244,-0.24817,0.08573
10130780,-0.14226,-0.23814,0.0958799999999999
10130968,-0.15438,-0.25222,0.09784
10131030,-0.15332,-0.24201,0.0886899999999999
10131058,-0.14207,-0.23499,0.09292
10131107,-0.14939,-0.2406,0.09121
101355,-0.15047,-0.2349,0.08443
101405,-0.15051,-0.23902,0.08851
10141,-0.14399,-0.23106,0.0870699999999999
10148,-0.1356,-0.22018,0.0845799999999999
10149,-0.1393,-0.22972,0.09042
10149918,-0.14242,-0.24731,0.10489
10150,-0.13519,-0.23154,0.0963499999999999
10151,-0.13384,-0.23312,0.09928
10152,-0.13471,-0.22996,0.09525
10154120,-0.1595,-0.24169,0.0821899999999999
10163,-0.13567,-0.23291,0.09724
10166,-0.14175,-0.23094,0.08919
10168,-0.14726,-0.24421,0.09695
10169,-0.14413,-0.24395,0.0998199999999999
10171931,-0.15294,-0.23383,0.08089
10172106,-0.15309,-0.23199,0.0789
10176277,-0.14692,-0.2454,0.09848
10176360,-0.17503,-0.23754,0.06251
10193245,-0.17207,-0.22829,0.0562199999999999
10197967,-0.16323,-0.25463,0.0914
10198501,-0.15107,-0.2292,0.0781299999999999
10198526,-0.14376,-0.23615,0.09239
10198899,-0.14735,-0.24826,0.10091
10199066,-0.15336,-0.24957,0.0962099999999999
10205,-0.14529,-0.23793,0.09264
10207,-0.13985,-0.23729,0.09744
10208,-0.13598,-0.23404,0.09806
10219628,-0.15183,-0.24216,0.09033
10219860,-0.14424,-0.2369,0.0926599999999999
10219885,-0.1598,-0.22958,0.06978
10219973,-0.13999,-0.24431,0.10432
10221,-0.15373,-0.22895,0.0752199999999999
10221233,-0.15194,-0.21721,0.06527
10221279,-0.15059,-0.24203,0.09144
1024,-0.17216,-0.24618,0.07402
10241397,-0.16144,-0.22772,0.06628
10241683,-0.15069,-0.24672,0.09603
10241970,-0.15296,-0.24558,0.0926199999999999
10242647,-0.15746,-0.24444,0.08698
10242873,-0.15137,-0.23718,0.08581
10243534,-0.14777,-0.22063,0.0728599999999999
10243623,-0.16236,-0.2618,0.0994399999999999
10243774,-0.14793,-0.24608,0.0981499999999999
10243870,-0.14889,-0.25006,0.10117
10243967,-0.14493,-0.24614,0.10121
10244017,-0.13347,-0.2315,0.09803
10244113,-0.14864,-0.24372,0.09508
10244129,-0.15858,-0.23021,0.07163
10244130,-0.14534,-0.22999,0.08465
10244637,-0.16011,-0.2506,0.0904899999999999
10244888,-0.1524,-0.22748,0.0750799999999999
10244984,-0.14732,-0.24111,0.0937899999999999
10245003,-0.14667,-0.22134,0.07467
10245207,-0.14304,-0.23355,0.09051
10245274,-0.14156,-0.23342,0.09186
10245310,-0.1447,-0.23873,0.09403
10245671,-0.14071,-0.2366,0.09589
10245707,-0.14714,-0.24461,0.09747
10245744,-0.13748,-0.23483,0.09735
10245818,-0.14384,-0.23365,0.08981
10245922,-0.14181,-0.2394,0.09759
10245999,-0.12326,-0.22895,0.1056899999999999
10246062,-0.15971,-0.25072,0.09101
10246267,-0.15208,-0.25232,0.10024
10246388,-0.15405,-0.2456,0.09155
10246498,-0.11454,-0.23065,0.1161099999999999
10246965,-0.14464,-0.22751,0.08287
10247140,-0.16349,-0.2254,0.0619099999999999
10261969,-0.1486,-0.22859,0.0799899999999999
10262591,-0.14906,-0.24057,0.09151
10262745,-0.16329,-0.23981,0.07652
10262817,-0.14458,-0.24203,0.09745
10263029,-0.15835,-0.23194,0.07359
10263236,-0.16217,-0.24175,0.0795799999999999
10263325,-0.15144,-0.238,0.08656
10263716,-0.14711,-0.24711,0.1
10263857,-0.14384,-0.23504,0.0912
10263918,-0.15876,-0.25539,0.09663
10263919,-0.15518,-0.24777,0.0925899999999999
10263921,-0.15596,-0.24576,0.0898
10264023,-0.16129,-0.23042,0.06913
10264366,-0.15557,-0.25187,0.0962999999999999
10264369,-0.15054,-0.24874,0.0981999999999999
10264372,-0.15373,-0.22945,0.0757199999999999
10264380,-0.15509,-0.23526,0.0801699999999999
10264881,-0.14465,-0.2341,0.08945
10264897,-0.14988,-0.24027,0.09039
10265002,-0.13347,-0.23185,0.09838
10265009,-0.14879,-0.24445,0.09566
10265118,-0.14177,-0.25145,0.10968
10265126,-0.14846,-0.22124,0.0727799999999999
10265129,-0.15715,-0.22911,0.07196
10265148,-0.15261,-0.22695,0.07434
10265291,-0.14232,-0.22405,0.08173
10265646,-0.14451,-0.23893,0.09442
10265794,-0.14251,-0.2384,0.09589
10265831,-0.14523,-0.2419,0.09667
10265833,-0.14014,-0.23867,0.09853
10265990,-0.15286,-0.22895,0.0760899999999999
10265992,-0.1227,-0.23139,0.10869
10266219,-0.11237,-0.25132,0.13895
10266560,-0.16379,-0.26058,0.0967899999999999
10266680,-0.17728,-0.24327,0.06599
10266690,-0.14741,-0.22825,0.08084
10266725,-0.15368,-0.23831,0.0846299999999999
10266796,-0.15188,-0.22726,0.07538
10267010,-0.14456,-0.23859,0.09403
10267060,-0.13922,-0.23291,0.09369
10267131,-0.18889,-0.26399,0.0751
10267265,-0.15721,-0.22737,0.07016
10267275,-0.15233,-0.24737,0.09504
10267445,-0.13794,-0.23621,0.09827
10267558,-0.13974,-0.24364,0.1038999999999999
10267704,-0.16093,-0.2328,0.07187
10267843,-0.15126,-0.21968,0.0684199999999999
10268052,-0.14619,-0.23722,0.09103
10268224,-0.15339,-0.24937,0.09598
10268443,-0.14542,-0.22694,0.08152
10281,-0.14996,-0.23997,0.0900099999999999
10286616,-0.15335,-0.23271,0.07936
10313314,-0.16158,-0.24377,0.0821899999999999
10313663,-0.14854,-0.2323,0.08376
10313899,-0.16719,-0.25172,0.08453
10313901,-0.18138,-0.26014,0.0787599999999999
10313980,-0.14292,-0.23955,0.09663
10314413,-0.15509,-0.23038,0.07529
10314551,-0.152,-0.2449,0.0929
10314575,-0.16526,-0.25812,0.09286
10314713,-0.14522,-0.23405,0.08883
10314740,-0.1504,-0.23646,0.08606
10314815,-0.14972,-0.23771,0.08799
10315599,-0.14816,-0.23348,0.08532
10315604,-0.14074,-0.234,0.09326
103229,-0.14255,-0.23791,0.09536
10330355,-0.15229,-0.23717,0.0848799999999999
10331421,-0.14704,-0.25041,0.10337
