CID,HOMO,HOMO-1,delta_orbs
100072,-0.12704,-0.16852,0.04148
10012509,-0.09524,-0.20291,0.10767
10013178,-0.07727,-0.17973,0.10246
10013409,-0.094,-0.1864,0.0924
10013478,-0.10306,-0.18411,0.08105
10013586,-0.09519,-0.19428,0.09909
10013624,-0.08653,-0.18916,0.10263
10014036,-0.09629,-0.19862,0.1023299999999999
10014037,-0.09619,-0.20079,0.1046
10014239,-0.11136,-0.2033,0.09194
10014422,-0.09891,-0.18998,0.09107
10014520,-0.09183,-0.18484,0.09301
10014710,-0.08516,-0.18657,0.10141
10014751,-0.07157,-0.16884,0.09727
10014894,-0.0928,-0.19107,0.09827
10014984,-0.09743,-0.19351,0.0960799999999999
10015214,-0.09346,-0.1884,0.09494
10015259,-0.10322,-0.20765,0.10443
10015267,-0.08949,-0.18708,0.09759
10015379,-0.09539,-0.17526,0.07987
10015504,-0.09882,-0.19505,0.09623
10015887,-0.09327,-0.20396,0.11069
10015944,-0.09351,-0.20022,0.10671
10016160,-0.11255,-0.19875,0.0862
10016161,-0.08638,-0.19047,0.10409
10016263,-0.11115,-0.2124,0.10125
10016991,-0.08457,-0.17967,0.0950999999999999
10017076,-0.10212,-0.20906,0.10694
10017086,-0.13531,-0.18866,0.0533499999999999
10017097,-0.10463,-0.18872,0.08409
10017262,-0.10147,-0.18649,0.0850199999999999
10017445,-0.09458,-0.18049,0.08591
10017511,-0.09427,-0.19002,0.0957499999999999
10017561,-0.09669,-0.18865,0.09196
10017657,-0.09627,-0.18906,0.09279
10017661,-0.10291,-0.19471,0.0917999999999999
10017721,-0.09378,-0.19719,0.10341
10018071,-0.11087,-0.19752,0.08665
10018120,-0.09742,-0.20025,0.10283
10018621,-0.07769,-0.20315,0.12546
10018666,-0.08392,-0.17546,0.09154
10018730,-0.08474,-0.17897,0.09423
10018904,-0.09041,-0.2023,0.11189
10019019,-0.08994,-0.19255,0.1026099999999999
10019513,-0.08777,-0.18408,0.0963099999999999
10019760,-0.11975,-0.20903,0.08928
10019885,-0.09848,-0.19407,0.09559
10019979,-0.0923,-0.16977,0.07747
10020240,-0.10721,-0.19291,0.0857
10020635,-0.11415,-0.2039,0.08975
100242,-0.08896,-0.19308,0.10412
10035508,-0.09354,-0.1964,0.10286
10036564,-0.08603,-0.18943,0.1033999999999999
10036600,-0.09583,-0.19698,0.1011499999999999
10036684,-0.08949,-0.18224,0.09275
10036947,-0.08373,-0.17454,0.09081
10037198,-0.08537,-0.18391,0.0985399999999999
10037329,-0.09383,-0.2043,0.11047
10037334,-0.1013,-0.19411,0.09281
10037536,-0.10617,-0.20432,0.09815
10037830,-0.09222,-0.19177,0.09955
10037986,-0.09742,-0.20332,0.1059
10038025,-0.09303,-0.18778,0.09475
10038037,-0.06421,-0.19389,0.12968
10038270,-0.10348,-0.18535,0.0818699999999999
10038390,-0.10179,-0.19119,0.0894
10038437,-0.07904,-0.17628,0.09724
10038751,-0.1099,-0.19013,0.08023
10038862,-0.07644,-0.1904,0.11396
10038867,-0.06982,-0.17844,0.10862
10039290,-0.09274,-0.19715,0.1044099999999999
10039317,-0.08913,-0.18715,0.09802
10039565,-0.09235,-0.18517,0.09282
10039843,-0.08929,-0.18134,0.09205
10040073,-0.11451,-0.19817,0.08366
10040206,-0.08918,-0.17905,0.0898699999999999
10040428,-0.08718,-0.19844,0.11126
10040429,-0.097,-0.19514,0.09814
10040430,-0.09843,-0.19412,0.0956899999999999
10040431,-0.09592,-0.18594,0.0900199999999999
10040432,-0.09145,-0.19661,0.10516
10040565,-0.09827,-0.18919,0.09092
10040577,-0.12182,-0.19723,0.0754099999999999
10040923,-0.08638,-0.18678,0.1004
10040934,-0.07837,-0.17664,0.09827
10041193,-0.09972,-0.20402,0.1043
10041429,-0.08885,-0.19599,0.10714
10041465,-0.08377,-0.1735,0.0897299999999999
10041791,-0.10026,-0.19786,0.0976
10042061,-0.11538,-0.18198,0.0666
10042198,-0.10725,-0.2111,0.10385
10042371,-0.08135,-0.17358,0.09223
10042385,-0.1181,-0.19825,0.08015
10042565,-0.09924,-0.19124,0.092
10042612,-0.08884,-0.18862,0.09978
10042616,-0.0907,-0.19694,0.10624
10042743,-0.12955,-0.20048,0.0709299999999999
10042744,-0.08919,-0.1846,0.0954099999999999
10042849,-0.09564,-0.18804,0.0924
10043098,-0.10269,-0.2052,0.1025099999999999
10043231,-0.1098,-0.19595,0.08615
10043243,-0.10064,-0.18562,0.08498
